dataset,model,seed,forget_size,method,accuracy,fid,mia
Adult,RF,108,10,Weighting,0.848160979,0.011246787,0.224182594
Adult,RF,109,5,Exact,0.847866146,0,0.124624862
Adult,RF,109,5,SISA,0.85789047,0.019971992,0.102479861
Adult,RF,109,5,Weighting,0.846539397,0.012495941,0.126235982
Adult,RF,109,10,Exact,0.846686814,0,0.02778392
Adult,RF,109,10,SISA,0.85700597,0.018760623,0.000363292
Adult,RF,109,10,Weighting,0.847055355,0.013952488,0.128226189
Adult,RF,110,5,Exact,0.85361539,0,0.323740325
Adult,RF,110,5,SISA,0.859512051,0.016795561,0.303680303
Adult,RF,110,5,Weighting,0.853246849,0.009748576,0.322034434
Adult,RF,110,10,Exact,0.854499889,0,0.222950561
Adult,RF,110,10,SISA,0.861207341,0.014739346,0.002827357
Adult,RF,110,10,Weighting,0.853320557,0.009570136,0.120644448
Adult,RF,111,5,Exact,0.852141225,0,0.123203285
Adult,RF,111,5,SISA,0.856047763,0.010526039,0.100489654
Adult,RF,111,5,Weighting,0.851183018,0.012968264,0.124466909
Adult,RF,111,10,Exact,0.851993809,0,0.123171695
Adult,RF,111,10,SISA,0.858111594,0.014103339,0.003775075
Adult,RF,111,10,Weighting,0.851404142,0.011832872,0.025446217
Adult,RF,112,5,Exact,0.849340311,0,0.072374033
Adult,RF,112,5,SISA,0.855458097,0.010712945,0.096888327
Adult,RF,112,5,Weighting,0.848603228,0.010464014,0.073606065
Adult,RF,112,10,Exact,0.85022481,0,0.075185595
Adult,RF,112,10,SISA,0.856858554,0.013444674,0.00298531
Adult,RF,112,10,Weighting,0.849266603,0.014186108,0.127689149
Adult,RF,113,5,Exact,0.846981647,0,0.070162692
Adult,RF,113,5,SISA,0.857227095,0.01565814,0.099573527
Adult,RF,113,5,Weighting,0.845212648,0.012776839,0.071615858
Adult,RF,113,10,Exact,0.84727648,0,0.029331859
Adult,RF,113,10,SISA,0.855900346,0.02296063,0.001247828
Adult,RF,113,10,Weighting,0.845949731,0.010823546,0.031227294
Adult,RF,114,5,Exact,0.852214933,0,0.07600695
Adult,RF,114,5,SISA,0.85870126,0.015319408,0.09647765
Adult,RF,114,5,Weighting,0.851330434,0.009531186,0.073416522
Adult,RF,114,10,Exact,0.852730891,0,0.074806508
Adult,RF,114,10,SISA,0.860691384,0.017498762,0.099921024
Adult,RF,114,10,Weighting,0.851183018,0.01394664,0.073827199
Heart Disease,LR,100,5,Exact,0.824175824,0,0.1
Heart Disease,LR,100,5,SISA,0.835164835,0.34547349,0.1
Heart Disease,LR,100,5,Weighting,0.824175824,2.66E-16,0.1
Heart Disease,LR,100,10,Exact,0.846153846,0,0
Heart Disease,LR,100,10,SISA,0.846153846,0.431647377,0
Heart Disease,LR,100,10,Weighting,0.846153846,1.42E-16,0
Heart Disease,LR,101,5,Exact,0.89010989,0,0.1
Heart Disease,LR,101,5,SISA,0.89010989,0.240552418,0.1
Heart Disease,LR,101,5,Weighting,0.89010989,3.36E-16,0.1
Heart Disease,LR,101,10,Exact,0.89010989,0,0.2
Heart Disease,LR,101,10,SISA,0.901098901,0.239135307,0.3
Heart Disease,LR,101,10,Weighting,0.89010989,2.72E-16,0.2
Heart Disease,LR,102,5,Exact,0.868131868,0,0.3
Heart Disease,LR,102,5,SISA,0.868131868,0.287357986,0.3
Heart Disease,LR,102,5,Weighting,0.868131868,3.63E-16,0.3
Heart Disease,LR,102,10,Exact,0.868131868,0,0
Heart Disease,LR,102,10,SISA,0.868131868,0.339747895,0
Heart Disease,LR,102,10,Weighting,0.868131868,1.11E-15,0
Heart Disease,LR,103,5,Exact,0.758241758,0,0.1
Heart Disease,LR,103,5,SISA,0.78021978,0.527530124,0.1
Heart Disease,LR,103,5,Weighting,0.758241758,4.64E-16,0.1
Heart Disease,LR,103,10,Exact,0.758241758,0,0.1
Heart Disease,LR,103,10,SISA,0.78021978,0.560787508,0.1
Heart Disease,LR,103,10,Weighting,0.758241758,5.56E-16,0.1
Heart Disease,LR,104,5,Exact,0.824175824,0,0.1
Heart Disease,LR,104,5,SISA,0.824175824,0.385662006,0.1
Heart Disease,LR,104,5,Weighting,0.824175824,3.15E-16,0.1
Heart Disease,LR,104,10,Exact,0.824175824,0,0.1
Heart Disease,LR,104,10,SISA,0.846153846,0.482409575,0.1
Heart Disease,LR,104,10,Weighting,0.824175824,3.96E-16,0.1
Heart Disease,LR,105,5,Exact,0.857142857,0,0.1
Heart Disease,LR,105,5,SISA,0.89010989,0.219360295,0.1
Heart Disease,LR,105,5,Weighting,0.857142857,1.56E-16,0.1
Heart Disease,LR,105,10,Exact,0.857142857,0,0
Heart Disease,LR,105,10,SISA,0.857142857,0.26249075,0
Heart Disease,LR,105,10,Weighting,0.857142857,2.69E-16,0
Heart Disease,LR,106,5,Exact,0.835164835,0,0.1
Heart Disease,LR,106,5,SISA,0.791208791,0.283075794,0.1
Heart Disease,LR,106,5,Weighting,0.835164835,6.82E-16,0.1
Heart Disease,LR,106,10,Exact,0.824175824,0,0
Heart Disease,LR,106,10,SISA,0.791208791,0.284193172,0
Heart Disease,LR,106,10,Weighting,0.824175824,4.90E-16,0
Heart Disease,LR,107,5,Exact,0.857142857,0,0.1
Heart Disease,LR,107,5,SISA,0.868131868,0.283435784,0.1
Heart Disease,LR,107,5,Weighting,0.857142857,1.62E-16,0.1
Heart Disease,LR,107,10,Exact,0.857142857,0,0.1
Heart Disease,LR,107,10,SISA,0.868131868,0.281351356,0.2
Heart Disease,LR,107,10,Weighting,0.857142857,4.49E-16,0.1
Heart Disease,LR,108,5,Exact,0.857142857,0,0.1
Heart Disease,LR,108,5,SISA,0.846153846,0.158497676,0.1
Heart Disease,LR,108,5,Weighting,0.857142857,6.03E-16,0.1
Heart Disease,LR,108,10,Exact,0.835164835,0,0.1
Heart Disease,LR,108,10,SISA,0.846153846,0.233689095,0
Heart Disease,LR,108,10,Weighting,0.835164835,9.91E-16,0.1
Heart Disease,LR,109,5,Exact,0.868131868,0,0.5
Heart Disease,LR,109,5,SISA,0.857142857,0.304655148,0.5
Heart Disease,LR,109,5,Weighting,0.868131868,2.14E-16,0.5
Heart Disease,LR,109,10,Exact,0.868131868,0,0.2
Heart Disease,LR,109,10,SISA,0.857142857,0.366498687,0.2
Heart Disease,LR,109,10,Weighting,0.868131868,2.52E-16,0.2
Heart Disease,LR,110,5,Exact,0.879120879,0,0.3
Heart Disease,LR,110,5,SISA,0.835164835,0.353073111,0.1
Heart Disease,LR,110,5,Weighting,0.879120879,1.26E-15,0.3
